rollout/ep_rew_mean,time/fps,eval/mean_reward,time/total_timesteps,train/n_updates,eval/std_reward,eval/mean_ep_length,train/learning_rate,rollout/ep_len_mean,time/iterations,train/critic_loss,train/actor_loss,training/completed
4.790393437669065,91.42791374835342,1.355570521120627,26800,26700,1.8959201725534796,4,0.0001,500.0,268,0.00019432089175097644,-0.005901065189391375,
4.347290342417379,84.90349556809156,5.093777894790268,27200,27100,4.93923694914837,4,0.0001,500.0,272,0.0001584819983690977,-0.012421147897839546,
5.630740549515609,122.75374585436151,1.8147520085205857,27600,27500,2.849019900621522,4,0.0001,500.0,276,0.000176563102286309,-0.012668363749980927,
4.880151035469724,8.62166399292491,5.833028326477788,28000,27900,5.980051620612572,4,0.0001,500.0,280,0.00019039609469473362,-0.008684378117322922,
4.129561521423839,107.997214007722,8.368660483878978,28400,28300,5.593989213175127,4,0.0001,500.0,284,0.00019901229825336486,-0.011498667299747467,
9.141886896160639,116.38817666189382,4.99916790534681,28800,28700,4.17787835164069,4,0.0001,500.0,288,0.0002601846354082227,-0.014652990736067295,
9.023186737976038,137.2553985992063,4.133623805961585,29200,29100,1.7973757320512125,4,0.0001,500.0,292,0.00020582298748195171,-0.007026327308267355,
11.001405828522829,94.67847992686313,6.3527824689051196,29600,29500,5.222631824049635,4,0.0001,500.0,296,0.00021927611669525504,-0.006134870927780867,
10.48186483914087,10.685102882134535,4.8532073070637605,30000,29900,0.8447307396005463,4,0.0001,500.0,300,0.0002085224841721356,-0.010525140911340714,
9.962323849758912,69.93721447291938,4.6244140149090605,30400,30300,4.8713404794008115,4,0.0001,500.0,304,0.00017984406440518796,-0.009335869923233986,
9.883591626283614,98.62313831163029,10.018538366587247,30800,30700,8.679375340123665,4,0.0001,500.0,308,0.00014847080456092954,-0.009557782672345638,
4.413062125405219,109.93177594833529,6.131490601271357,31200,31100,6.206636108521662,4,0.0001,500.0,312,0.00013008723908569664,-0.015594671480357647,
3.254354184271876,110.97031666579798,5.373778550187412,31600,31500,3.2389298145133045,4,0.0001,500.0,316,0.00020904513075947762,-0.010041611269116402,
1.9721019673004883,11.040530075498696,-1.204807898211658,32000,31900,2.7878999640596187,4,0.0001,500.0,320,0.0002019527310039848,-0.009067023172974586,
0.689849750329101,98.48451904576967,6.046014080682315,32400,32300,8.945575071412891,4,0.0001,500.0,324,0.00020453731121961027,-0.01454145647585392,
2.0575509319395175,136.6915609344671,3.787863214931145,32800,32700,2.3421652876480765,4,0.0001,500.0,328,0.00023118240642361343,-0.010459567420184612,
3.0195312791701334,113.43026221207055,9.03534483306245,33200,33100,6.379408273719476,4,0.0001,500.0,332,0.00012330655590631068,-0.015349569730460644,
3.1189346302295924,112.99803493579192,2.752908628027169,33600,33500,4.0575838139816955,4,0.0001,500.0,336,0.00019790511578321457,-0.014300679787993431,
3.5925250709345597,9.525086018191733,1.4734788443407392,34000,33900,2.045115387584798,4,0.0001,500.0,340,0.00015330311725847423,-0.019389431923627853,
4.066115511639527,115.54814308528647,1.4415629050559682,34400,34300,4.356842710087011,4,0.0001,500.0,344,0.0002042604610323906,-0.013200720772147179,
3.014078479752148,142.9255774282553,9.99414419435811,34800,34700,4.946607579234759,4,0.0001,500.0,348,0.00017515799845568836,-0.008546636439859867,
1.9107959381938635,126.92511839736122,2.2567114607104495,35200,35100,4.3348501426266415,4,0.0001,500.0,352,0.0001957271306309849,-0.008881431072950363,
2.3545714145709717,116.56886597330727,5.966942978463103,35600,35500,4.253704066441991,4,0.0001,500.0,356,0.00021961104357615113,-0.009081042371690273,
